Gene,Pathway,Tissue,GDR,Mutation,D1,D2,D3,D4,D5,D6
G34423,Pathway4,Lymphnode,Noevidence,863,0.3,4.32,2.69,4.35,62.1,55
G38143,Pathway4,Blood,Limited,1013,0.3,4.3,2.64,4.26,61.7,58
G39431,Pathway3,Breast,Noevidence,1076,0.41,4.76,2.95,4.74,62.1,56
G48347,Pathway3,Breast,Noevidence,1961,0.57,5.29,3.3,5.32,62.3,57
G43850,Pathway3,Liver,Strong,1447,0.5,5.05,3.11,5.1,61.3,61
G19532,Pathway5,Liver,Strong,8165,1.5,7.16,4.58,7.08,64.3,60
G18681,Pathway7,Brain,Limited,7638,1.55,7.4,4.61,7.36,62.5,58
G13819,Pathway2,Brain,Strong,5630,1.12,6.56,4.2,6.5,64.3,57
G17951,Pathway4,Breast,Noevidence,7255,1.14,6.69,4.17,6.66,62.5,56
G38499,Pathway4,Kidney,Noevidence,1031,0.42,4.77,2.98,4.81,62.2,56
G2597,Pathway1,Blood,Noevidence,3218,0.52,5.15,3.2,5.17,62,57
G53072,Pathway2,Brain,Moderate,2610,0.72,5.92,3.44,5.96,57.9,58
G7724,Pathway2,Liver,Limited,580,0.26,4.19,2.52,4.15,60.4,58
G43492,Pathway3,Brain,Limited,1421,0.51,5.14,3.11,5.1,60.7,58
G48236,Pathway3,Liver,Noevidence,1950,0.56,5.3,3.29,5.34,61.8,55
G17110,Pathway7,Liver,Limited,6822,1.31,7.04,4.34,6.97,62,59
G47183,Pathway3,Breast,Limited,1836,0.51,5.27,3.18,5.17,60.9,57
G38609,Pathway1,Liver,Moderate,1040,0.39,4.79,2.86,4.82,59.5,57
G27266,Pathway4,Skin,Moderate,17689,2.52,8.65,5.45,8.61,63.2,58
G39343,Pathway2,Kidney,Noevidence,1073,0.38,4.62,2.88,4.66,62.1,54.5
G22506,Pathway5,Brain,Noevidence,10546,1.58,7.46,4.6,7.53,61.4,56
G35367,Pathway5,Liver,Limited,898,0.38,4.61,2.89,4.57,63,56
G52294,Pathway1,Kidney,Moderate,548,0.25,4.03,2.47,4.05,61.1,59
G445,Pathway4,Lung,Limited,2815,1.02,6.55,3.94,6.5,60.3,58
G41389,Pathway3,Kidney,Noevidence,1221,0.42,4.85,2.93,4.82,60.6,57
G6553,Pathway6,Skin,Limited,4072,1.01,6.52,3.94,6.5,60.5,60
G9322,Pathway1,Brain,Moderate,4579,0.9,6.11,3.83,6.15,62.5,59
G27482,Pathway4,Skin,Limited,18164,2.12,8.18,5.1,8.12,62.6,59
G26014,Pathway1,Brain,Limited,644,0.35,4.52,2.76,4.55,60.9,58
G47582,Pathway4,Skin,Limited,1875,0.7,5.75,3.5,5.72,61,58
G10102,Pathway3,Liver,Moderate,4715,0.9,6.12,3.85,6.07,63.2,57
G33922,Pathway2,Liver,Limited,844,0.3,4.3,2.68,4.27,62.5,59
G25952,Pathway6,Skin,Noevidence,15124,2.16,8.29,5.14,8.33,61.9,54
G5016,Pathway3,Skin,Limited,3746,0.91,6.14,3.83,6.09,62.6,58
G29923,Pathway2,Breast,Noevidence,713,0.32,4.42,2.71,4.45,61.1,56
G9615,Pathway7,Brain,Noevidence,4633,1.08,6.54,4.07,6.57,62.1,55
G8293,Pathway2,Brain,Limited,4385,0.9,6.24,3.78,6.19,60.8,59
G9101,Pathway4,Brain,Limited,4525,1.01,6.35,3.98,6.29,63,58
G27622,Pathway7,Brain,Noevidence,18508,2.37,8.53,5.29,8.56,61.9,55
G47232,Pathway6,Liver,Strong,1840,0.71,5.61,3.57,5.55,64,59
G23965,Pathway6,Breast,Noevidence,12099,1.7,7.8,4.68,7.77,60.1,57
G36240,Pathway1,Blood,Noevidence,934,0.31,4.34,2.7,4.36,62.1,54
G26532,Pathway6,Skin,Limited,16190,2.2,8.41,5.23,8.34,62.4,55
G34187,Pathway4,Breast,Limited,854,0.33,4.41,2.76,4.38,62.8,58
G50239,Pathway2,Breast,Noevidence,2233,0.51,5.14,3.16,5.16,61.4,56
G3145,Pathway1,Breast,Moderate,3332,0.71,5.64,3.62,5.66,64.1,57
G29437,Pathway5,Brain,Limited,700,0.42,4.84,2.95,4.85,60.9,58
G23017,Pathway4,Liver,Limited,630,0.3,4.25,2.65,4.21,62.6,62
G28054,Pathway3,Liver,Noevidence,660,0.32,4.4,2.72,4.44,61.5,55
G13953,Pathway5,Liver,Limited,5677,1.09,6.64,4.06,6.58,61.4,58
G16810,Pathway4,Brain,Moderate,6704,1.22,6.75,4.23,6.8,62.4,57
G7126,Pathway5,Liver,Moderate,4173,0.9,6.11,3.85,6.17,62.7,59
G32959,Pathway7,Blood,Noevidence,461,0.31,4.32,2.7,4.35,62.4,54
G51920,Pathway3,Liver,Moderate,2437,0.7,5.78,3.51,5.83,60.5,58
G46767,Pathway2,Breast,Limited,1801,0.5,5.16,3.1,5.1,60.4,60
G24992,Pathway5,Brain,Definitive,13502,2.02,7.71,5.14,7.79,66.3,57
G19256,Pathway4,Kidney,Noevidence,7986,1.24,6.87,4.24,6.83,61.9,56
G29268,Pathway2,Brain,Moderate,698,0.31,4.33,2.74,4.32,63.4,55
G35721,Pathway1,Liver,Noevidence,911,0.3,4.33,2.66,4.3,61.6,57
G11623,Pathway6,Skin,Noevidence,5050,1.2,6.92,4.16,6.83,60.5,58
G13034,Pathway7,Breast,Limited,600,0.38,4.6,2.87,4.64,62.1,60
G48186,Pathway7,Liver,Limited,1944,0.72,5.85,3.51,5.81,60.2,59
G32955,Pathway2,Liver,Moderate,461,0.24,3.99,2.47,4.02,61.7,57
G4085,Pathway3,Skin,Strong,3532,1.01,6.31,4.04,6.36,63.8,57
G31323,Pathway1,Liver,Noevidence,758,0.32,4.45,2.7,4.48,60.5,56
G45224,Pathway2,Brain,Noevidence,1656,0.52,5.23,3.18,5.22,60.7,55
G9265,Pathway2,Brain,Limited,4562,0.92,6.18,3.86,6.23,62.2,58
G49975,Pathway4,Kidney,Moderate,541,0.29,4.28,2.61,4.32,60.9,57
G32101,Pathway1,Liver,Noevidence,781,0.33,4.42,2.76,4.47,62.1,56
G35497,Pathway3,Brain,Moderate,904,0.41,4.74,3,4.73,63.4,57
G45321,Pathway4,Liver,Noevidence,524,0.32,4.37,2.72,4.41,62,57
G21258,Pathway4,Liver,Noevidence,9408,1.32,7.07,4.34,7.13,61.1,57
G11819,Pathway1,Brain,Strong,5093,1,6.22,4.01,6.28,64.2,60
G18705,Pathway3,Kidney,Moderate,620,0.27,4.17,2.59,4.2,61.9,58
G159,Pathway4,Breast,Limited,2770,0.73,5.79,3.55,5.75,61.5,58
G4593,Pathway4,Skin,Moderate,3655,1.07,6.52,4.12,6.46,63.5,59
G8418,Pathway5,Lung,Limited,4404,1.51,7.38,4.46,7.26,60.9,56
G1177,Pathway2,Liver,Moderate,2930,0.71,5.74,3.51,5.71,61.3,60
G17675,Pathway3,Skin,Noevidence,7126,1.29,6.95,4.32,7.01,61.9,55
G41107,Pathway2,Blood,Noevidence,1195,0.35,4.52,2.81,4.55,62.1,57
G12643,Pathway5,Breast,Limited,5294,1.01,6.44,3.93,6.41,61.2,61
G35506,Pathway2,Brain,Limited,904,0.41,4.78,2.93,4.75,61.5,61
G17473,Pathway3,Liver,Noevidence,7014,1.01,6.45,4,6.49,61.9,54
G22793,Pathway5,Breast,Strong,10819,1.51,7.49,4.38,7.56,58.2,58
G47546,Pathway5,Blood,Noevidence,1872,0.52,5.23,3.15,5.2,60.4,57
G30653,Pathway4,Brain,Noevidence,736,0.4,4.65,2.93,4.69,62.7,57
G40970,Pathway5,Blood,Strong,1180,0.45,5.08,2.86,4.99,56.8,64
G38187,Pathway1,Brain,Noevidence,1015,0.41,4.79,2.95,4.78,61.7,54
G7871,Pathway4,Liver,Strong,4309,0.9,6.02,3.82,5.98,63.7,60
G8501,Pathway7,Liver,Noevidence,4422,1.12,6.82,4.08,6.75,60.1,57
G48510,Pathway2,Brain,Moderate,1983,0.61,5.44,3.37,5.4,62.2,60
G39841,Pathway2,Skin,Strong,1098,0.5,5.24,3.06,5.27,58.2,59
G12840,Pathway4,Liver,Moderate,5353,1.04,6.51,4.01,6.55,61.4,63
G47716,Pathway4,Kidney,Strong,1885,0.51,5.27,3.06,5.35,57.6,56
G1415,Pathway6,Skin,Limited,2968,1.06,6.57,4.02,6.49,61.5,57
G24553,Pathway3,Kidney,Noevidence,12841,1.28,6.95,4.32,6.91,62.2,56
G50382,Pathway7,Brain,Strong,2250,0.75,5.76,3.66,5.71,63.9,56
G25494,Pathway3,Liver,Noevidence,14281,1.5,7.45,4.5,7.51,60.2,55
G599,Pathway3,Liver,Limited,2838,0.7,5.69,3.49,5.63,61.7,58
G40259,Pathway5,Kidney,Limited,1125,0.4,4.79,2.9,4.74,60.9,58
G50929,Pathway6,Brain,Noevidence,2319,0.71,5.77,3.48,5.79,60.2,60
G28371,Pathway4,Liver,Noevidence,668,0.37,4.6,2.88,4.61,62.5,53
G20089,Pathway4,Liver,Noevidence,8564,1.18,6.77,4.23,6.74,62.7,55
G18617,Pathway4,Breast,Noevidence,7594,1.06,6.6,4.02,6.64,60.7,56
G47844,Pathway3,Breast,Noevidence,1908,0.53,5.22,3.23,5.17,62.2,55
G11185,Pathway5,Brain,Noevidence,4955,1.07,6.63,4.04,6.6,61.1,56
G22498,Pathway5,Skin,Limited,10534,1.71,7.66,4.76,7.62,62.3,58
G2915,Pathway3,Liver,Limited,3285,0.8,6.02,3.58,5.97,59.7,58
G19193,Pathway7,Brain,Noevidence,7943,1.59,7.43,4.58,7.52,61.3,57
G7568,Pathway1,Brain,Definitive,4252,0.9,6.07,3.85,5.99,63.8,61
G29343,Pathway4,Liver,Noevidence,698,0.31,4.43,2.63,4.4,59.6,57
G14834,Pathway6,Liver,Limited,5975,1.25,6.89,4.23,6.98,61,59
G30372,Pathway5,Liver,Noevidence,729,0.36,4.61,2.85,4.57,62.1,55
G8523,Pathway3,Skin,Strong,4427,1.04,6.35,4.03,6.42,63.1,60
G11597,Pathway4,Brain,Limited,5043,1.06,6.61,4.07,6.54,61.9,55
G53077,Pathway4,Lymphnode,Moderate,2611,0.59,5.38,3.29,5.42,60.9,57
G50257,Pathway4,Breast,Definitive,2235,0.69,5.58,3.42,5.64,61.2,65.4
G14864,Pathway4,Liver,Moderate,5987,1.05,6.48,4.09,6.51,63,57
G11544,Pathway2,Brain,Moderate,5029,1.03,6.42,4.04,6.49,62.6,58
G8705,Pathway4,Blood,Moderate,586,0.28,4.18,2.6,4.2,61.9,55
G31527,Pathway2,Brain,Noevidence,765,0.34,4.47,2.8,4.42,63,55
G38152,Pathway6,Liver,Noevidence,1013,0.45,4.96,3.04,4.91,61.7,59
G4191,Pathway1,Liver,Strong,3561,0.7,5.69,3.42,5.73,59.9,59
G25769,Pathway6,Skin,Limited,14727,2.43,8.59,5.33,8.53,62.2,60
G24024,Pathway7,Brain,Moderate,12196,2,7.92,4.94,7.97,62.2,59
G32443,Pathway3,Brain,Moderate,792,0.43,4.79,3,4.82,62.4,57
G30578,Pathway1,Liver,Noevidence,734,0.31,4.33,2.7,4.37,62.1,54
G110,Pathway2,Kidney,Noevidence,2761,0.59,5.38,3.35,5.43,62,55
G21305,Pathway6,Brain,Noevidence,9460,1.57,7.42,4.64,7.47,62.4,53.6
G28875,Pathway7,Lymphnode,Noevidence,684,0.32,4.41,2.73,4.37,62.2,56
G37515,Pathway2,Liver,Noevidence,985,0.39,4.73,2.85,4.7,60.4,56
G45916,Pathway2,Liver,Noevidence,1721,0.53,5.19,3.22,5.21,61.9,56
G29706,Pathway4,Kidney,Moderate,707,0.31,4.29,2.7,4.33,62.6,57
G5361,Pathway4,Brain,Strong,3816,0.9,6.04,3.88,6.08,64.1,59.4
G49032,Pathway3,Kidney,Noevidence,2054,0.51,5.18,3.14,5.22,60.4,56
G52069,Pathway3,Kidney,Noevidence,2454,0.54,5.24,3.25,5.25,62,55
G28802,Pathway2,Blood,Moderate,682,0.27,4.16,2.6,4.19,62.3,56
G12795,Pathway4,Kidney,Noevidence,5335,0.9,6.15,3.83,6.22,61.9,56
G25354,Pathway2,Kidney,Moderate,642,0.28,4.27,2.54,4.33,59.1,59
G51491,Pathway3,Brain,Limited,2381,0.71,5.69,3.56,5.62,63,59
G17933,Pathway4,Liver,Noevidence,7243,1.2,6.78,4.24,6.72,62.8,57
G15134,Pathway6,Liver,Limited,6084,1.25,6.98,4.23,6.89,61,59
G22327,Pathway4,Lymphnode,Noevidence,10368,1.16,6.85,4.13,6.93,59.9,57
G18963,Pathway4,Breast,Limited,7800,1.24,6.92,4.28,6.88,62,59
G40057,Pathway7,Liver,Noevidence,1113,0.57,5.32,3.33,5.34,62.5,54
G31126,Pathway4,Brain,Moderate,754,0.43,4.8,3.02,4.83,62.7,56
G18666,Pathway6,Skin,Limited,7631,1.54,7.51,4.57,7.43,61.2,58
G12555,Pathway3,Brain,Noevidence,5274,1.01,6.55,3.91,6.49,60,56
G45618,Pathway1,Brain,Moderate,1692,0.55,5.24,3.22,5.29,61.2,58
G36523,Pathway4,Brain,Noevidence,945,0.42,4.83,3.01,4.8,62.5,56
G41008,Pathway2,Blood,Moderate,1184,0.41,4.76,2.92,4.78,61.2,62
G42098,Pathway2,Kidney,Noevidence,1274,0.44,4.88,3.03,4.93,61.8,56
G36856,Pathway2,Lymphnode,Moderate,958,0.31,4.38,2.71,4.42,61.6,54
G12691,Pathway2,Breast,Noevidence,598,0.28,4.17,2.59,4.2,62,57
G40601,Pathway3,Brain,Moderate,497,0.32,4.4,2.68,4.43,60.7,62
G24958,Pathway3,Skin,Limited,13437,2.08,8.15,5.04,8.1,62,60
G35711,Pathway1,Liver,Noevidence,911,0.3,4.35,2.64,4.32,60.9,57
G53138,Pathway1,Skin,Strong,2620,0.72,5.78,3.47,5.84,59.7,61
G28458,Pathway4,Kidney,Moderate,672,0.32,4.39,2.73,4.41,61.9,57
G29947,Pathway5,Breast,Noevidence,445,0.25,4.05,2.5,4.08,61.5,56
G13997,Pathway5,Brain,Moderate,5698,1.19,6.76,4.26,6.69,63.3,55
G7232,Pathway7,Brain,Moderate,4194,1.01,6.35,4.02,6.41,63,54
G17495,Pathway6,Breast,Moderate,7031,1.27,7.04,4.24,6.96,60.6,59
G35280,Pathway6,Lymphnode,Noevidence,895,0.39,4.69,2.93,4.71,62.3,54
G24544,Pathway4,Liver,Noevidence,12830,1.72,7.65,4.78,7.58,62.8,57
G46320,Pathway5,Breast,Noevidence,526,0.3,4.33,2.67,4.37,61.4,54
G16178,Pathway3,Breast,Moderate,6468,1,6.38,4.03,6.43,62.9,56
G41066,Pathway3,Brain,Limited,1191,0.52,5.15,3.17,5.16,61.5,60
G21371,Pathway1,Brain,Noevidence,626,0.34,4.47,2.78,4.5,62,56
G52570,Pathway5,Brain,Noevidence,2536,0.7,5.77,3.48,5.74,60.6,57
G10124,Pathway1,Skin,Strong,4719,1.01,6.35,4.05,6.39,63.6,57
G21096,Pathway2,Breast,Limited,9263,1.19,7.01,4.17,6.94,59.8,58
G27295,Pathway4,Breast,Limited,17765,1.72,7.86,4.66,7.82,59.4,60
G26570,Pathway7,Brain,Noevidence,16274,2.4,8.62,5.26,8.76,60.6,57
G46241,Pathway3,Liver,Limited,1753,0.53,5.2,3.21,5.17,61.9,58
G2146,Pathway7,Liver,Limited,3125,0.93,6.34,3.87,6.32,61.1,59
G3906,Pathway4,Blood,Noevidence,3492,0.72,5.73,3.57,5.76,62.2,54.4
G52442,Pathway2,Skin,Moderate,2514,0.7,5.64,3.54,5.67,62.6,57
G26159,Pathway6,Breast,Limited,15475,2.01,8.07,4.92,7.94,61.5,62
G1739,Pathway5,Breast,Noevidence,561,0.32,4.4,2.73,4.42,61.9,55
G33252,Pathway6,Breast,Noevidence,825,0.45,4.9,3.05,4.92,62.1,55
G51414,Pathway2,Kidney,Noevidence,2371,0.52,5.15,3.2,5.19,61.9,55
G27418,Pathway5,Liver,Strong,18023,2,7.88,5.07,8.01,63.8,59
G51386,Pathway6,Breast,Noevidence,2368,0.71,5.68,3.55,5.72,62.3,59
G18289,Pathway2,Breast,Noevidence,7430,1.01,6.41,3.96,6.45,61.6,57
G23537,Pathway5,Liver,Limited,11540,1.51,7.32,4.55,7.28,62.3,59
G29854,Pathway1,Liver,Moderate,710,0.3,4.24,2.68,4.28,62.9,56
G17535,Pathway3,Breast,Noevidence,7056,1.01,6.44,3.97,6.42,61.7,59
G44765,Pathway3,Liver,Noevidence,1621,0.53,5.2,3.23,5.23,61.9,55
G37796,Pathway4,Skin,Limited,1000,0.5,5.04,3.14,5.01,62.5,57
G52189,Pathway4,Brain,Noevidence,2478,0.7,5.67,3.55,5.69,62.5,56
G13682,Pathway2,Brain,Limited,5599,1.01,6.32,3.95,6.3,62.6,58
G7370,Pathway3,Skin,Strong,4221,1.01,6.3,4.02,6.43,63.2,58
G37014,Pathway4,Kidney,Limited,965,0.33,4.49,2.72,4.45,60.9,59
G42595,Pathway1,Lymphnode,Moderate,1331,0.31,4.33,2.69,4.35,62,56
G47364,Pathway5,Blood,Noevidence,1846,0.54,5.27,3.2,5.32,60.4,55
G21423,Pathway4,Brain,Noevidence,9530,1.52,7.38,4.49,7.41,60.7,57
G32654,Pathway5,Kidney,Limited,802,0.31,4.35,2.66,4.32,61.4,58
G19577,Pathway7,Breast,Limited,8205,1.53,7.34,4.6,7.31,62.8,59
G4258,Pathway6,Brain,Moderate,3580,0.9,6.12,3.83,6.17,62.3,58
G7227,Pathway5,Skin,Noevidence,4193,1.04,6.61,3.98,6.58,60.3,56
G6452,Pathway3,Skin,Strong,4049,1.01,6.12,4.05,6.2,65.7,58
G13008,Pathway5,Brain,Moderate,5406,1.05,6.55,3.98,6.6,60.5,58
G35638,Pathway1,Brain,Moderate,475,0.24,3.95,2.51,4.01,63.1,55
G4236,Pathway6,Brain,Noevidence,3574,0.91,6.2,3.88,6.24,62.4,56
G8930,Pathway5,Skin,Limited,4497,1.1,6.86,4.03,6.82,58.9,57
G13990,Pathway4,Liver,Moderate,5696,1.01,6.37,3.99,6.41,62.4,58
G33131,Pathway2,Kidney,Moderate,816,0.31,4.38,2.68,4.43,60.8,55
G40229,Pathway4,Blood,Noevidence,1123,0.4,4.72,2.91,4.76,61.4,55
G30056,Pathway4,Brain,Limited,719,0.41,4.76,2.93,4.8,61.3,58
G8445,Pathway6,Brain,Moderate,4412,1.01,6.36,4.02,6.31,63.5,59
G9248,Pathway5,Liver,Limited,4559,1.01,6.33,3.95,6.22,62.9,60
G29199,Pathway7,Breast,Strong,694,0.44,4.82,3.06,4.86,63.2,57
G25726,Pathway5,Brain,Definitive,14646,2.03,7.91,5.16,7.88,65.4,58
G45313,Pathway4,Breast,Noevidence,524,0.3,4.35,2.66,4.36,61.1,56
G26555,Pathway5,Skin,Strong,16239,2.66,8.71,5.54,8.65,63.8,57
G35193,Pathway4,Lymphnode,Noevidence,891,0.31,4.35,2.71,4.38,62.1,54
G2869,Pathway4,Blood,Moderate,3276,0.7,5.63,3.55,5.67,62.8,56
G13012,Pathway7,Brain,Noevidence,5407,1.23,6.89,4.26,6.81,62.2,57
G4323,Pathway3,Skin,Definitive,3597,1.01,6.44,3.86,6.41,60.1,66
G42373,Pathway5,Brain,Noevidence,1304,0.57,5.33,3.29,5.35,61.6,60
G73,Pathway5,Brain,Limited,554,0.3,4.28,2.68,4.24,62.9,59
G21558,Pathway6,Liver,Limited,9659,1.54,7.61,4.53,7.53,59.8,59
G10869,Pathway5,Brain,Noevidence,4876,1.01,6.36,3.98,6.41,62.3,59
G43812,Pathway4,Liver,Strong,1443,0.51,5.1,3.25,5.07,63.9,56
G13690,Pathway2,Brain,Noevidence,5599,1.01,6.5,4.01,6.41,62.1,54
G11467,Pathway6,Breast,Limited,5012,1.03,6.51,3.95,6.57,60.4,59
G28810,Pathway3,Blood,Strong,682,0.3,4.29,2.63,4.32,61.1,61
G40370,Pathway5,Brain,Noevidence,1130,0.46,4.97,3.05,5.01,61.1,55
G31216,Pathway1,Brain,Noevidence,756,0.32,4.42,2.76,4.37,62.8,56
G33574,Pathway3,Blood,Moderate,832,0.3,4.29,2.66,4.33,61.6,59
G42455,Pathway2,Brain,Strong,1316,0.5,5.02,3.21,5.06,63.7,56
G44237,Pathway5,Liver,Noevidence,1573,0.57,5.35,3.23,5.38,60.2,59
G10479,Pathway6,Brain,Moderate,4794,1.01,6.32,4.04,6.4,63.5,53
G49669,Pathway6,Breast,Noevidence,2142,0.7,5.63,3.57,5.7,63,54
G51633,Pathway2,Brain,Moderate,544,0.31,4.35,2.63,4.4,60.1,61
G25591,Pathway5,Brain,Definitive,14430,2,7.86,5.09,7.77,65.1,56
G7714,Pathway4,Liver,Noevidence,579,0.33,4.46,2.74,4.49,61.2,55
G11944,Pathway5,Brain,Strong,5131,1.1,6.55,4.15,6.5,63.6,58
G52537,Pathway5,Breast,Noevidence,2530,0.7,5.73,3.54,5.76,61.6,55
G47761,Pathway5,Blood,Noevidence,1893,0.52,5.19,3.22,5.25,61.7,53
G25408,Pathway5,Brain,Limited,14126,2,8.04,4.8,8.01,59.8,60
G20843,Pathway4,Skin,Moderate,9069,1.51,7.25,4.54,7.29,62.4,56
G32419,Pathway1,Brain,Moderate,791,0.41,4.7,2.97,4.75,62.9,58
G20770,Pathway3,Breast,Noevidence,9007,1.12,6.67,4.13,6.69,61.8,56
G35319,Pathway4,Brain,Noevidence,896,0.42,4.81,2.97,4.84,61.6,56
G4745,Pathway3,Skin,Limited,3682,0.91,6.21,3.82,6.23,61.4,60
G32682,Pathway4,Breast,Limited,802,0.31,4.33,2.64,4.3,61.2,60
G11061,Pathway1,Brain,Noevidence,596,0.34,4.53,2.76,4.56,60.9,56
G16721,Pathway5,Kidney,Noevidence,610,0.3,4.28,2.68,4.32,62.3,54.4
G30765,Pathway2,Blood,Limited,740,0.25,4.03,2.53,4.01,62.9,58
G26855,Pathway2,Breast,Limited,16779,1.52,7.47,4.45,7.39,59.9,60
G23913,Pathway2,Lymphnode,Noevidence,12030,1.02,6.44,3.99,6.38,62.2,56
G13431,Pathway6,Liver,Noevidence,5516,1.06,6.61,4.01,6.66,60.3,57
G49476,Pathway1,Kidney,Moderate,2115,0.5,5.02,3.12,5.09,61.7,59
G5408,Pathway5,Liver,Definitive,3819,1,6.35,4.09,6.28,64.8,55
G32213,Pathway4,Blood,Noevidence,789,0.31,4.4,2.69,4.43,60.9,55
G28341,Pathway3,Liver,Noevidence,666,0.33,4.4,2.76,4.42,62.6,55
G3036,Pathway4,Kidney,Noevidence,565,0.31,4.32,2.7,4.36,62.2,55
G47050,Pathway3,Liver,Noevidence,1820,0.54,5.3,3.23,5.27,61.1,57
G39956,Pathway1,Skin,Strong,492,0.33,4.4,2.8,4.43,63.4,56
G2804,Pathway1,Brain,Noevidence,3262,0.71,5.75,3.51,5.79,60.9,57
G42717,Pathway2,Skin,Noevidence,1340,0.54,5.33,3.2,5.27,60.4,57
G35549,Pathway5,Kidney,Noevidence,906,0.35,4.5,2.83,4.48,63,55
G51160,Pathway3,Brain,Limited,2345,0.71,5.79,3.46,5.71,60.2,60
G48590,Pathway1,Breast,Limited,1994,0.54,5.24,3.22,5.3,61.1,58
G8108,Pathway5,Brain,Moderate,4348,1.02,6.33,3.99,6.38,62.8,59
G28056,Pathway1,Skin,Noevidence,660,0.42,4.8,2.99,4.85,62,54
G25635,Pathway4,Breast,Noevidence,14507,1.51,7.48,4.5,7.38,60.6,57
G2649,Pathway1,Blood,Moderate,3234,0.59,5.37,3.33,5.41,61.8,57
G6144,Pathway5,Liver,Moderate,3989,0.9,6.14,3.87,6.22,62.6,58
G3215,Pathway6,Skin,Definitive,3348,1,6.23,4.11,6.27,65.8,58
G2303,Pathway2,Liver,Strong,3163,0.74,5.77,3.7,5.81,63.9,54
G41875,Pathway1,Brain,Moderate,1257,0.5,5.09,3.22,5.05,63.5,57
G44633,Pathway6,Blood,Noevidence,1608,0.57,5.31,3.29,5.35,61.7,56
G2639,Pathway6,Skin,Limited,3229,0.96,6.24,3.9,6.2,62.7,58
G49068,Pathway7,Brain,Strong,2058,0.74,5.82,3.5,5.86,59.9,64
G22507,Pathway1,Skin,Moderate,10546,1.51,7.28,4.51,7.35,61.7,59
G48266,Pathway1,Breast,Noevidence,1955,0.54,5.28,3.25,5.3,61.4,53
G14146,Pathway2,Skin,Moderate,5739,1.22,6.78,4.28,6.75,63.3,56
G30377,Pathway3,Skin,Moderate,729,0.45,4.9,3.03,4.95,61.5,61
G26515,Pathway6,Liver,Strong,16149,2.01,7.95,5.03,7.87,63.6,57
G53883,Pathway1,Breast,Definitive,2747,0.71,5.62,3.66,5.58,65.4,59
G38996,Pathway5,Skin,Noevidence,1054,0.53,5.16,3.19,5.19,61.6,56
G50063,Pathway6,Breast,Limited,2202,0.71,5.68,3.54,5.64,62.5,61
G53631,Pathway1,Brain,Moderate,552,0.3,4.3,2.61,4.32,60.6,60
G49995,Pathway2,Breast,Limited,2192,0.58,5.39,3.32,5.35,61.8,55
G16729,Pathway1,Breast,Strong,610,0.3,4.22,2.73,4.27,64.3,56
G21198,Pathway1,Skin,Moderate,9343,1.52,7.35,4.49,7.4,60.9,59
G34482,Pathway3,Liver,Moderate,867,0.4,4.66,2.97,4.68,63.6,56
G23778,Pathway1,Kidney,Noevidence,11837,1.06,6.52,4.05,6.54,62,57
G40651,Pathway2,Skin,Moderate,1154,0.5,5.08,3.13,5.13,61.3,56
G7921,Pathway4,Liver,Moderate,4316,0.91,6.26,3.75,6.34,59.5,58
G33099,Pathway5,Breast,Noevidence,815,0.4,4.74,2.91,4.78,61.1,57
G30581,Pathway1,Liver,Noevidence,734,0.31,4.44,2.63,4.48,59,57
G32590,Pathway4,Blood,Noevidence,802,0.33,4.45,2.76,4.48,61.8,59
G38899,Pathway6,Brain,Noevidence,1052,0.53,5.15,3.25,5.2,62.8,57
G30553,Pathway1,Liver,Moderate,734,0.31,4.32,2.7,4.35,62.3,55
G29781,Pathway6,Blood,Limited,709,0.3,4.27,2.66,4.24,62.5,60
G34506,Pathway4,Breast,Moderate,868,0.4,4.72,2.91,4.74,61.5,58
G6363,Pathway6,Liver,Noevidence,576,0.32,4.37,2.74,4.33,63,57
G15760,Pathway4,Liver,Limited,6301,1.02,6.41,4.02,6.46,62.5,58
G9555,Pathway6,Liver,Moderate,4620,1,6.33,4.01,6.3,63.5,56
G36104,Pathway4,Lymphnode,Noevidence,926,0.37,4.66,2.83,4.7,60.5,56
G9674,Pathway4,Brain,Definitive,4646,1.01,6.31,3.82,6.34,60.4,62
G3144,Pathway3,Kidney,Moderate,3332,0.71,5.65,3.61,5.7,63.6,56
G5378,Pathway6,Brain,Limited,574,0.34,4.49,2.74,4.45,61.3,61
G19890,Pathway4,Breast,Strong,8442,1.2,6.7,4.26,6.74,63.4,56
G32454,Pathway1,Breast,Moderate,793,0.36,4.52,2.85,4.55,62.8,55
G37132,Pathway1,Kidney,Noevidence,971,0.36,4.59,2.8,4.63,60.7,56
G2645,Pathway2,Liver,Noevidence,3231,0.81,6.02,3.65,6.06,60.4,57
G33728,Pathway5,Kidney,Moderate,839,0.41,4.75,2.95,4.87,61.3,54
G9428,Pathway4,Breast,Moderate,4590,0.91,6.27,3.85,6.38,60.9,54
G35104,Pathway3,Lymphnode,Noevidence,886,0.3,4.32,2.68,4.35,61.8,55
G32629,Pathway1,Breast,Moderate,458,0.28,4.23,2.57,4.26,60.5,58
G52821,Pathway3,Brain,Moderate,2573,0.7,5.63,3.53,5.69,62.4,56
G13245,Pathway2,Skin,Noevidence,5473,1.14,6.64,4.16,6.7,62.4,57
G44988,Pathway4,Skin,Limited,523,0.31,4.4,2.69,4.37,61.3,58
G37591,Pathway2,Kidney,Moderate,485,0.24,3.94,2.53,3.97,64,56
